stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
0600MA0419A,chepmtd,"Bollington Cross, o/s St Oswald's Church",53.29179,-2.11950,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0419A
0600MA0429,chegadj,"Bollington, nr Waggon & Horses",53.29365,-2.11003,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0429
0600MA0430,chegadm,"Bollington, adj Waggon & Horses",53.29426,-2.11031,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0430
0600MA0439,chepadg,"Bollington, nr Cotton Tree",53.29867,-2.09236,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0439
0600MA0443,chepadp,"Bollington, Beeston Mount (cnr)",53.30057,-2.08950,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0443
0600MA0445,chegadt,"Pott Shrigley, opp Saint Christopher's Church",53.30952,-2.08362,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0445
0600MA0446,chegadw,"Pott Shrigley, nr Saint Christopher's Church",53.30937,-2.08373,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0446
0600MA0450,chegaga,"Wood Lanes, o/s Wood Lanes Church",53.33235,-2.09705,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0450
0600MA0451,chegagd,"Wood Lanes, opp Wood Lanes Church",53.33247,-2.09693,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0451
0600MA0461,chepajp,"Higher Poynton, Shrigley Road North (cnr)",53.34427,-2.08811,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0461
0600MA0462,chepajt,"Higher Poynton, opp Shrigley Road North",53.34412,-2.08814,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0462
0600MA0465,chepamd,"Higher Poynton, Carleton Road (cnr)",53.35074,-2.08663,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0465
0600MA0465A,chepwpd,"Higher Poynton, opp Carleton Road (Unmarked)",53.35060,-2.08680,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0465A
0600MA0477,chegagp,"Poynton, adj St George's Church",53.34994,-2.12163,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0477
0600MA0478,chegagt,"Poynton, opp St George's Church",53.34850,-2.12244,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0478
0600MA0493,chegajd,"Hockley, o/s Post Office",53.34779,-2.10654,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0493
0600MA0494,chegajg,"Hockley, opp Post Office",53.34765,-2.10730,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0494
0600MA0497,chepawg,"Poynton, Clumber Road (cnr)",53.34811,-2.11541,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0497
0600MA0498,chepawj,"Poynton, opp Clumber Road",53.34827,-2.11542,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0498
0600MA0500,chepawm,"Poynton, o/s St George's Church",53.34920,-2.12288,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0500
0600MA0509,chegajp,"Poynton, adj Railway Station",53.35008,-2.13675,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0509
0600MA0510,chegajt,"Poynton, nr Railway Station",53.35013,-2.13601,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0510
0600MA0517,chepdgt,"Handforth, opp Pickmere Road",53.35478,-2.21628,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0517
0600MA0518,chepdgw,"Handforth, opp Redesmere Road",53.35526,-2.21546,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0518
0600MA0521,chepdja,"Handforth, Ollerton Road (NE-bound)",53.35306,-2.21174,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0521
0600MA0522,chepdjd,"Handforth, Ollerton Road (SW-bound)",53.35286,-2.21178,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0522
0600MA0523,chepdjg,"Handforth, Henbury Road (cnr, Unmarked)",53.35256,-2.21479,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0523
0600MA0524,chepdjm,"Handforth, opp Henbury Road",53.35270,-2.21486,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0524
0600MA0526,chegamd,"Handforth, nr Spath Lane",53.35319,-2.21623,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0526
0600MA0527,chegamg,"Handforth, opp Spath Lane",53.35315,-2.21650,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0527
0600MA0528,chegamj,"Handforth, Paddock South (S-bound)",53.34984,-2.21509,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0528
0600MA0529,chegamp,"Handforth, Paddock North (N-bound)",53.35008,-2.21540,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0529
0600MA0530,chegamt,"Handforth, o/s Clinic",53.34801,-2.21505,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0530
0600MA0531,chegamw,"Handforth, opp Clinic",53.34779,-2.21532,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0531
0600MA0532,chegapa,"Handforth, The Green (cnr)",53.34567,-2.21082,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0532
0600MA0533,chegapd,"Handforth, opp The Green",53.34521,-2.21057,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0533
0600MA0534,chepdjp,"Handforth, Hallwood Road (cnr)",53.34236,-2.20808,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0534
0600MA0535,chepdjt,"Handforth, opp Finsbury Way",53.34218,-2.20773,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0535
0600MA0536,chepdjw,"Wilmslow, opp Oaklands Close",53.33797,-2.20423,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0536
0600MA0537,chepdma,"Wilmslow, Oaklands Close (cnr)",53.33789,-2.20442,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0537
0600MA0538,chepdmd,"Wilmslow, Handforth Road (W-bound)",53.33519,-2.20286,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0538
0600MA0539,chepdmg,"Wilmslow, Handforth Road (E-bound)",53.33536,-2.20338,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0539
0600MA0540,chepdmj,"Wilmslow, opp Lincoln Road",53.33522,-2.20946,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0540
0600MA0541,chepdmp,"Wilmslow, opp Pinewood Road",53.33545,-2.21009,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0541
0600MA0542,chepdmt,"Wilmslow, opp Blue Bell Garage",53.33813,-2.22108,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0542
